Checklist Template Name,DisplaySeqNumber,SectionName,Question Label,Answer Type,For Select there would be 'AnswerOption',Example,Tag,Help Text
Site Survey,10,Ground,Cancelled at the Door Y/N,EnumeratedSingle,Yes / No,,Residential,Indicate if the homeowner communicated with you that they do not wish to proceed with the project
Site Survey,20,Ground,Home Type,EnumeratedSingle,Home Style,,Residential,"Define the home type (e.g. single-story, two-story, etc.). This helps determine accessibility and the installation approach."
Site Survey,30,Roof,Was Layout Provided for Survey,EnumeratedSingle,Yes / No,,Residential,Contact your supervisor if there is no layout provided
Site Survey,40,Roof,Panels Proposed on Additional Structure,EnumeratedSingle,Yes / No,,Residential,"Indicate if any solar panels are planned for installation on structures other than the main roof (e.g. garage, carport, pergola, ground mount)."
Site Survey,50,Roof,Roof Material,EnumeratedSingle,Roof Material,,Residential,"Record the type of roofing material present (e.g. composition shingle tile, metal, TPO, etc). This determines the appropriate mounting hardware and installation method."
Site Survey,60,Ground,Is the main panel or subpanel inside the home?,EnumeratedSingle,Yes / No / NA,,Residential,Confirm the location of the main service panel or subpanel. If inside the home additional coordination with the homeowner may be needed for access during installation.
Site Survey,70,Ground,Main Service Panel Manufacturer,EnumeratedSingle,Panel Manufacturer,,Residential,"Identify the brand of the main electrical service panel (e.g. Square D, Siemens, GE, Eaton). This is important for selecting compatible breakers and equipment."
Site Survey,80,Ground,Main Breaker Rating,EnumeratedSingle,Main Breaker Rating,,Residential,"Record the amperage rating of the main breaker (e.g. 100A, 200A, 400A). This determines the available capacity for the solar system interconnection."
Site Survey,90,Ground,Bus Rating,EnumeratedSingle,Bus Rating,,Residential,"Document the bus bar rating of the main service panel (typically 100A, 125A, 200A, 225A, or 400A)."
Site Survey,100,Ground,Cold Water Bond Visible,EnumeratedSingle,Yes / No,,Residential,Verify if the grounding electrode conductor bond to the cold water pipe is visible and accessible. This is required by NEC for proper system grounding.
Site Survey,110,Roof,Steepest Roof Pitch,EnumeratedSingle,Roof Pitch (Degrees),,Residential,Measure and record the pitch of the steepest roof section where panels will be installed. This affects safety requirements and installation difficulty.
Site Survey,120,Roof,Attic Run Required,EnumeratedSingle,Yes / No / Unknown,,Residential,Determine if conduit or wiring needs to be run through the attic space. If unknown note for further investigation during installation.
Site Survey,130,Ground,Battery Capacity,EnumeratedSingle,Battery Capacity Types,,Residential,Record the capacity any battery storage system proposed (e.g. Tesla Powerwall 13.5 kWh or Enphase IQ 10). Input 'N/A' if no battery is included.
